id,competition_id,event_id,round_number,round_type_id,format,time_limit_centiseconds,time_limit_cumulative_round_ids,cutoff_attempt_result,cutoff_number_of_attempts,proceed_type,proceed_value,open,created_at,updated_at
732,SpanishForkAM2024,fto,1,f,a,24000,,15000,2,,,FALSE,2024-10-06T01:57:07.655Z,2024-11-23T18:47:40.516Z
733,ColoradoChampionship2024,fto,1,f,a,24000,,12000,2,,,FALSE,2024-10-06T15:34:32.683Z,2024-10-13T20:21:36.081Z
734,GreatLakesMeetup2024,magic,1,f,a,60000,,,,,,FALSE,2024-10-06T18:22:12.336Z,2024-10-07T01:01:42.706Z
735,GreatLakesMeetup2024,15puzzle,1,f,a,60000,,,,,,FALSE,2024-10-06T18:22:12.345Z,2024-10-07T01:18:17.079Z
736,GreatLakesMeetup2024,ivy_cube,1,1,a,60000,,,,percentage,50,FALSE,2024-10-06T18:22:12.353Z,2024-10-07T00:37:13.211Z
737,GreatLakesMeetup2024,ivy_cube,2,f,a,60000,,,,,,FALSE,2024-10-06T18:22:12.361Z,2024-10-07T01:35:06.412Z
738,GreatLakesMeetup2024,333ft,1,f,a,60000,,,,,,FALSE,2024-10-06T18:22:59.054Z,2024-10-07T00:50:23.176Z
739,MidAtlanticChampionship2024,fto,1,f,a,30000,,14500,2,,,FALSE,2024-10-07T12:38:49.151Z,2024-10-13T01:44:15.931Z
743,LloydminsterBorderBattle2024,333_mirror_blocks,1,f,a,60000,,,,,,FALSE,2024-10-08T05:17:41.632Z,2024-10-13T00:42:25.258Z
750,CubingUWI2024,333,1,f,a,60000,,,,,,FALSE,2024-10-01T18:39:21.617Z,2024-10-16T01:11:09.039Z
756,BullasOpen2024,fto,1,f,a,18000,,10500,2,,,FALSE,2024-10-10T16:06:22.725Z,2024-10-19T18:33:02.452Z
757,BullasOpen2024,kilominx,1,f,a,18000,,7500,2,,,FALSE,2024-10-10T16:06:22.756Z,2024-10-19T19:51:19.821Z
758,BullasOpen2024,miniguild_2_person,1,f,3,48000,,24000,1,,,FALSE,2024-10-10T16:06:22.773Z,2024-10-19T19:54:46.658Z
759,BullasOpen2024,333_team_bld_old,1,f,a,24000,,12000,2,,,FALSE,2024-10-10T16:06:22.798Z,2024-10-19T19:58:39.361Z
760,UCSDFall2024,magic,1,f,a,6000,,,,,,FALSE,2024-10-11T09:52:21.459Z,2024-11-23T23:03:56.508Z
761,RenoFall2024,fto,1,f,a,24000,,15000,2,,,FALSE,2024-10-11T17:32:42.897Z,2024-11-16T20:24:31.323Z
763,LocationSHAFMCEurope2024,fto,1,f,a,90000,[],,,,,FALSE,2024-10-13T18:55:30.265Z,2024-12-06T21:48:05.337Z
764,LocationSHAFMCEurope2024,234relay,1,f,3,18000,,,,,,FALSE,2024-10-13T19:08:18.573Z,2024-12-06T21:48:05.341Z
765,FMCYaDublinOH2024,fto,1,f,a,30000,,12000,2,,,FALSE,2024-10-16T02:25:47.334Z,2024-12-31T01:33:23.493Z
766,TicinoBacktoOneHanded2024,333_team_bld,1,f,a,30000,,,,,,FALSE,2024-10-16T09:02:00.435Z,2024-12-08T15:23:05.027Z
773,GACubersGoBananas2024,fto,1,1,a,24000,,9000,2,number,8,FALSE,2024-10-17T02:47:19.310Z,2024-11-16T15:11:10.268Z
774,GACubersGoBananas2024,fto,2,f,a,24000,,,,,,FALSE,2024-10-17T02:47:19.313Z,2024-11-16T21:07:34.341Z
775,GACubersGoBananas2024,333_mirror_blocks,1,f,a,24000,,9000,2,,,FALSE,2024-10-17T02:47:19.318Z,2024-11-16T16:55:59.765Z
776,GACubersGoBananas2024,223_banana,1,1,a,12000,,6000,2,number,8,FALSE,2024-10-17T02:47:19.322Z,2024-11-16T19:14:16.675Z
777,GACubersGoBananas2024,223_banana,2,f,a,12000,,,,,,FALSE,2024-10-17T02:47:19.325Z,2024-11-16T22:04:24.578Z
778,DutchNationals2024,fto,1,1,a,30000,,12000,2,number,10,FALSE,2024-10-17T13:02:24.525Z,2024-11-22T21:12:07.330Z
