id,name,localized_name,region_code,wca_id,approved,created_at,updated_at
179,Ben Tibbetts,,US,2017TIBB01,TRUE,2023-08-04T19:25:10.473Z,2023-08-04T19:25:10.473Z
180,Sebastian Morber,,US,2022MORB01,TRUE,2023-08-04T19:25:29.660Z,2023-08-04T19:25:29.660Z
181,Ellery Dillon,,US,2021DILL03,TRUE,2023-08-04T19:25:47.159Z,2023-08-04T19:25:47.159Z
182,Ledger Ramirez,,US,2022RAMI15,TRUE,2023-08-04T19:26:05.693Z,2023-08-04T19:26:05.693Z
183,Amity Trace,,US,2015TRAC01,TRUE,2023-08-04T19:26:20.432Z,2024-11-08T20:09:01.738Z
184,Easan Peacock,,US,2022PEAC02,TRUE,2023-08-04T19:26:37.579Z,2023-08-04T19:26:37.579Z
185,Alexander Rossi,,US,2022ROSS18,TRUE,2023-08-04T19:27:02.683Z,2023-08-04T19:27:02.683Z
186,Dev Choksi,,US,2022CHOK02,TRUE,2023-08-04T19:27:21.130Z,2023-08-04T19:27:21.130Z
187,Oliver Hettrich,,US,2023HETT01,TRUE,2023-08-04T19:27:58.941Z,2023-08-04T19:27:58.941Z
188,Stone Payne,,US,2018SIMP06,TRUE,2023-08-04T19:28:48.671Z,2024-09-01T20:34:06.831Z
189,Dean Lockett,,US,2017LOCK02,TRUE,2023-08-04T19:29:04.796Z,2023-08-04T19:29:04.796Z
190,Ekansh Agrawal,,US,2022AGRA04,TRUE,2023-08-04T19:29:22.690Z,2023-08-04T19:29:22.690Z
191,Aiden Benjamin Owens,,US,2023OWEN05,TRUE,2023-08-04T19:30:14.890Z,2023-08-04T19:30:14.890Z
192,Daniel Pszenny,,US,2022PSZE01,TRUE,2023-08-04T19:30:35.580Z,2023-08-04T19:30:35.580Z
193,Nicolás Sánchez,,US,2015SANC11,TRUE,2023-08-04T19:34:07.228Z,2023-08-04T19:34:07.228Z
194,Carter Kucala,,US,2015KUCA01,TRUE,2023-08-04T21:51:09.104Z,2026-03-02T04:04:15.645Z
195,Mitchell Lane,,US,2010LANE02,TRUE,2023-08-09T04:32:02.835Z,2023-08-09T04:32:02.835Z
196,Jayden McNeill,,AU,2012MCNE01,TRUE,2023-08-09T04:33:09.797Z,2023-08-09T04:33:09.797Z
197,Kamil Przybylski,,PL,2016PRZY01,TRUE,2023-08-11T15:10:51.508Z,2023-08-11T15:10:51.508Z
198,Nikolai Masson,Николай Массон,RU,2011MASS01,TRUE,2023-08-11T15:11:24.222Z,2026-03-05T07:36:54.134Z
199,Roman Strakhov,,RU,2012STRA02,TRUE,2023-08-11T15:12:20.040Z,2023-08-11T15:12:20.040Z
200,Daniel Karnaukh,,US,2014KARN02,TRUE,2023-08-11T15:13:45.344Z,2023-08-11T15:13:45.344Z
201,Shyngys Sharapadin,Шынгыс Шарападин,KZ,2017SHAR27,TRUE,2023-08-11T15:15:11.469Z,2023-08-23T15:19:48.507Z
